loaded models...
og solubility: 0.3958333333333333 | raw solubility: 0.23693379790940766 | no guide solubility: 0.993103448275862 | optimized solubility: 0.996551724137931 | solubility diff: 0.6007183908045977
og solubility: 0.5042016806722689 | raw solubility: 0.24738675958188153 | no guide solubility: 1.0 | optimized solubility: 0.9827586206896551 | solubility diff: 0.47855694001738625
og solubility: 0.5914893617021276 | raw solubility: 0.25435540069686413 | no guide solubility: 1.0 | optimized solubility: 0.9413793103448276 | solubility diff: 0.34988994864269995
og solubility: 0.46473029045643155 | raw solubility: 0.23693379790940766 | no guide solubility: 1.0 | optimized solubility: 1.0 | solubility diff: 0.5352697095435685
og solubility: 0.03278688524590164 | raw solubility: 0.19080459770114944 | no guide solubility: 0.9817351598173516 | optimized solubility: 1.0 | solubility diff: 0.9672131147540983
og solubility: 0.03296703296703297 | raw solubility: 0.19310344827586207 | no guide solubility: 1.0 | optimized solubility: 0.9931506849315068 | solubility diff: 0.9601836519644739
og solubility: 0.043478260869565216 | raw solubility: 0.21171171171171171 | no guide solubility: 1.0 | optimized solubility: 1.0 | solubility diff: 0.9565217391304348
og solubility: 0.0 | raw solubility: 0.9703808180535967 | no guide solubility: 0.9915730337078652 | optimized solubility: 0.9915730337078652 | solubility diff: 0.9915730337078652
og solubility: 0.2777777777777778 | raw solubility: 0.582089552238806 | no guide solubility: 0.9285714285714286 | optimized solubility: 0.9142857142857143 | solubility diff: 0.6365079365079365
og solubility: 0.1724137931034483 | raw solubility: 0.4444444444444444 | no guide solubility: 0.5208333333333334 | optimized solubility: 0.4583333333333333 | solubility diff: 0.285919540229885
og solubility: 0.2222222222222222 | raw solubility: 0.4230769230769231 | no guide solubility: 0.5272727272727272 | optimized solubility: 0.5272727272727272 | solubility diff: 0.305050505050505
og solubility: 0.15625 | raw solubility: 0.6119402985074627 | no guide solubility: 0.9285714285714286 | optimized solubility: 0.9857142857142858 | solubility diff: 0.8294642857142858
og solubility: 0.1794871794871795 | raw solubility: 0.5974025974025974 | no guide solubility: 0.6 | optimized solubility: 0.6 | solubility diff: 0.42051282051282046
og solubility: 0.25 | raw solubility: 0.5714285714285714 | no guide solubility: 0.65 | optimized solubility: 0.65 | solubility diff: 0.4
